		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
	357	357	357	सप्तपञ्चाशत्यधिकत्रिशत			सप्तपञ्चाशत्यधिकत्रिशतम्					सप्तपञ्चाशत्यधिकत्रिशततम	सप्तपञ्चाशत्यधिकत्रिशततमः	सप्तपञ्चाशत्यधिकत्रिशततमी	सप्तपञ्चाशत्यधिकत्रिशततमम्			
*	358*	358	358	अष्ट/अष्टपञ्चाशत्यधिकत्रिशत			अष्ट/अष्टपञ्चाशत्यधिकत्रिशतम्					अष्ट/अष्टपञ्चाशत्यधिकत्रिशततम	अष्ट/अष्टपञ्चाशत्यधिकत्रिशततमः	अष्ट/अष्टपञ्चाशत्यधिकत्रिशततमी	अष्ट/अष्टपञ्चाशत्यधिकत्रिशततमम्			
*	359*	359	359	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशत			ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशतम्					ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततम	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमः	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमी	ऊन/एकोन/एकान्न/एकाद्नषष्ट्यधिकशततमम्			
	360	360	360	षष्ट्यधिकत्रिशत			षष्ट्यधिकत्रिशतम्					षष्ट्यधिकत्रिशततम	षष्ट्यधिकत्रिशततमः	षष्ट्यधिकत्रिशततमी	षष्ट्यधिकत्रिशततमम्			
	361	361	361	एकषष्ट्यधिकत्रिशत 			एकषष्ट्यधिकत्रिशतम् 					एकषष्ट्यधिकत्रिशततम	एकषष्ट्यधिकत्रिशततमः	एकषष्ट्यधिकत्रिशततमी	एकषष्ट्यधिकत्रिशततमम्			
*	362*	362	362	द्वि/द्वाषष्ट्यधिकत्रिशत			द्वि/द्वाषष्ट्यधिकत्रिशतम्					द्वि/द्वाषष्ट्यधिकत्रिशततम	द्वि/द्वाषष्ट्यधिकत्रिशततमः	द्वि/द्वाषष्ट्यधिकत्रिशततमी	द्वि/द्वाषष्ट्यधिकत्रिशततमम्			
*	363*	363	363	त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशत			त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशतम्					त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशततम	त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशततमः	त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशततमी	त्रि/त्रयः/त्रयष्षष्ट्यधिकत्रिशततमम्			
	364	364	364	चतुःषष्ट्यधिकत्रिशत			चतुःषष्ट्यधिकत्रिशतम्					चतुःषष्ट्यधिकत्रिशततम	चतुःषष्ट्यधिकत्रिशततमः	चतुःषष्ट्यधिकत्रिशततमी	चतुःषष्ट्यधिकत्रिशततमम्			
	365	365	365	पञ्चषष्ट्यधिकत्रिशत			पञ्चषष्ट्यधिकत्रिशतम्					पञ्चषष्ट्यधिकत्रिशततम	पञ्चषष्ट्यधिकत्रिशततमः	पञ्चषष्ट्यधिकत्रिशततमी	पञ्चषष्ट्यधिकत्रिशततमम्			
	366	366	366	षट्षष्ट्यधिकत्रिशत			षट्षष्ट्यधिकत्रिशतम्					षट्षष्ट्यधिकत्रिशततम	षट्षष्ट्यधिकत्रिशततमः	षट्षष्ट्यधिकत्रिशततमी	षट्षष्ट्यधिकत्रिशततमम्			
